"code";"abbreviation";"description";"explanation"
"2649";"SCC_CALLBACK_DATA_COMMAND_ID_OUT_OF_RANGE";"The command ID is out of range in the add_callback operation for data envelopes.";"Meaning: The command ID is out of range in the add_callback operation for data envelopes. The erroneous command ID is given in the log message as parameter.<newline/>Reason: Software error.	 <newline/>Cure: Check the software with respect to the indices of the command IDs (add_callback operation, task calling the add_callback operation, corresponding 'pdml'-files)."
"2650";"SCC_CALLBACK_ICN_COMMAND_ID_OUT_OF_RANGE";"The command ID is out of range in the add_callback operation for ICN envelopes.";"Meaning: The command ID is out of range in the add_callback operation for ICN (info counter) envelopes. The erroneous command ID is given in the log message as parameter.<newline/>Reason: Software error.	 <newline/>Cure: Check the software with respect to the indices of the command IDs (add_callback operation, task calling the add_callback operation, corresponding 'pdml'-files)."
"2651";"SCC_CALLBACK_IPTRANSP_COMMAND_ID_OUT_OF_RANGE";"The command ID is out of range in the add_callback operation for IPTransp envelopes.";"Meaning: The command ID is out of range in the add_callback operation for IPTransp envelopes. The erroneous command ID is given in the log message as parameter.<newline/>Reason: Software error.	 <newline/>Cure: Check the software with respect to the indices of the command IDs (add_callback operation, task calling the add_callback operation, corresponding 'pdml'-files)."
"2652";"SCC_DIGITAL_TEMPERATURE_OUTPUT_OUT_OF_REQUIRED_RANGE";"The digital temperature output is out of the required range.";"Meaning: The digital temperature output is out of the required range.<newline/>Reason: (i) Software error, (ii) error of the PLD, (iii) error of the device (hardware problem).<newline/>Cure: Check (i) the software (and the PLD) with respect to the communication with the temperature sensor, (ii) the temperature sensor."
"2653";"SCC_CCD_BOARD_TEMPERATURE_EXCEEDS_MAXIMUM_VALUE";"The temperature on the CCD board exceeds the maximum value. This may cause problems with the image quality.";"Meaning:The temperature on the CCD board exceeds the maximum value. This may cause problems with the image quality.<newline/>Reason: (i) The temperature regulation inside the machine does not work correctly.  <newline/>Cure: (i) Let the machine cool down. (ii) Check the temperature regulation inside the machine."
"2654";"SCC_IP_SENSITIVITY_TOO_BIG";"The input IP sensitivity value was too big. The IP sensitivity was set to the biggest possible value.";"Meaning: The input IP sensitivity value was too big. The IP sensitivity was set to the biggest possible value.<newline/>Reason: No error occured, the error code  is necessary for displaying the best fit notification.<newline/>Cure: --"
"2655";"SCC_IP_SENSITIVITY_TOO_SMALL";"The input IP sensitivity value was too small. The IP sensitivity was set to the smallest possible value.";"Meaning:The input IP sensitivity value was too small. The IP sensitivity was set to the smallest possible value.<newline/>Reason: No error occured, the error code  is necessary for displaying the best fit notification.<newline/>Cure: --"
"2656";"SCC_WRONG_NUMBER_OF_PIXELS_IN_SDRAM";"The number of pixels written into the SDRAM during a scan is wrong.";"Meaning:The number of pixels written into the SDRAM during a scan is wrong.<newline/>Reason: (i) The scan parameters were not set correctly, (ii) The hardware did not transmit the correct number of pixels into the SDRAM<newline/>Cure: Check the corresponding hard- and software (the exact number of pixels and the corresponding pointer positions are logged separately)."
"2657";"SCC_RDRRAM_ADDRESS_NOT_ZERO_BEFORE_SCAN";"The address set in the RDR RAM before the scan is not zero.";"Meaning:The address set in the RDR RAM before the scan is not zero. The RDR RAM address is logged as parameter in the corresponding error message.<newline/>Reason: The state of the RDR RAM is not 'idle'.<newline/>Cure: Check if the ESD-brush is mounted at the bottom of the machine (for discharging (connecting) the NIP)."
"2801";"PS_NO_ICN_REQUESTOR";"Power Supply, No Infocounter Requestor ID found.";"Module:  Power Supply Reason:  No valid infocounter Requestor ID found.<newline/>Meaning: Not able to send Infocounter Event<newline/>Cure:    call activateEvents() Proxy command first."
"2802";"PS_PROXY_SENDCMD_DELIVER";"Power Supply, cannot deliver command from proxy to PS-task";"Module:  Power Supply Meaning: Cannot send any command from PowerSupply-proxy to PowerSupply-task through PostOffice.<newline/>Cure: SW-Bugfixing"
"2803";"PS_SWITCHON_UVAR_3_6";"Power Supply, Switch on U Var 3.6V-6.8V failed";"Module:  Power Supply Meaning: Switch on variable voltage 3.6V-6.8V for LineLightSource failed.<newline/>Cure: Change Power Supply Unit"
"2804";"PS_UVAR_3_6_LOST";"Power Supply, U Var 3.6V-6.8V lost while scanning.";"Module:  Power Supply Meaning: Variable voltage 3.6V-6.8V for LineLightSource break down while scanning.<newline/>Cure: Change Power Supply Unit"
"2805";"PS_SWITCHON_UVAR_18_30";"Power Supply, Switch on U Var 18V-30V failed";"Module:  Power Supply Meaning: Switch on variable voltage 18V-30V for CCD-Node failed.<newline/>Cure: Change Power Supply Unit"
"2806";"PS_UVAR_18_30_LOST";"Power Supply, U Var 18V-30V lost while scanning.";"Module:  Power Supply Meaning: Variable voltage 18V-30V for CCD-Node break down while scanning.<newline/>Cure: Change Power Supply Unit"
"2807";"PS_UVAR_18_30_STATUS";"Power Supply, U Var 18V-30V status error.";"Module:  Power Supply Meaning: Variable voltage 18V-30V for CCD-Node has failure.<newline/>Reason: Short circuit or Powersupply unit defective<newline/>Cure: Repair short circuit or change Power Supply Unit."
"2808";"PS_UVAR_3_6_STATUS";"Power Supply, U Var 3,5V-6,8V status error.";"Module:  Power Supply Meaning: Variable voltage 3,5V-6,8V for LineLightSource has failure.<newline/>Reason: Short circuit or Powersupply unit defective<newline/>Cure: Repair short circuit or change Power Supply Unit."
"2809";"PS_U9_2V_CCD_STATUS";"Power Supply,  9,2V status error.";"Module:  Power Supply Meaning: Voltage 9,2V for CCD Digital has failure.<newline/>Reason: Short circuit or Powersupply unit defective<newline/>Cure: Repair short circuit or change Power Supply Unit."
"2810";"PS_U20V_CCD_ANALOG_STATUS";"Power Supply,  20V status error.";"Module:  Power Supply Meaning: Voltage 20V for CCD Analog has failure.<newline/>Reason: Short circuit or Powersupply unit defective<newline/>Cure: Repair short circuit or change Power Supply Unit."
"2811";"PS_U24V_STATUS";"Power Supply,  24V status error.";"Module:  Power Supply Meaning: Voltage 24V for AirControl board has failure.<newline/>Reason: Short circuit or Powersupply unit defective<newline/>Cure: Repair short circuit or change Power Supply Unit."
"2812";"PS_U36V_STATUS";"Power Supply,  36V status error.";"Module:  Power Supply Meaning: Voltage 36V for IP/CassHandling boards has failure.<newline/>Reason: Short circuit or Powersupply unit defective<newline/>Cure: Repair short circuit or change Power Supply Unit."
"2813";"PS_U8V_SHIUIF_STATUS";"Power Supply,  8V for Shi and UIF status error.";"Module:  Power Supply Meaning: Voltage 8V for SHI/UIF boards has failure.<newline/>Reason: Short circuit or Powersupply unit defective<newline/>Cure: Repair short circuit or change Power Supply Unit."
"2814";"PS_U8V_CAN_STATUS";"Power Supply,  8V for CAN status error.";"Module:  Power Supply Meaning: Voltage 8V for CAN bus has failure.<newline/>Reason: Short circuit or Powersupply unit defective<newline/>Cure: Repair short circuit or change Power Supply Unit."
"2815";"PS_FAN_STATUS";"Power Supply,  FAN status error.";"Module:  Power Supply Meaning: Cooling Fan has failure.<newline/>Reason: Powersupply unit defective<newline/>Cure: Change Power Supply Unit."
"2816";"PS_TEMPALARM_STATUS";"Power Supply,  Temperature Alarm status error.";"Module:  Power Supply Meaning: Temperature Alarm is active.<newline/>Reason: Powersupply unit too hot<newline/>Cure: Switch Off Power Supply Unit for cooling."
"3001";"CD_PROXY_SENDCMD_DELIVER";"cannot deliver command from proxy to SS-task";"Meaning: Cannot send any command from CassetteDetector-proxy to CassetteDetector-task through PostOffice.<newline/>Cure: SW-Bugfixing"
"3200";"AS_PROXY_ADD_CALLBACK_FAILED";"Communication Failure using Air Supply Proxy";"Reason: Wrong Parameter, out of range,  using Air Supply Proxy"
"3201";"AS_PROXY_ADD_CALLBACK_EVENT_FAILED";"Communication Failure using Air Supply Proxy";"Reason: Wrong Parameter, out of range,  using Air Supply Proxy"
"3202";"AS_PROXY_NO_ENVELOPE_GOT";"Communication Failure";"Reason:  SW-Bug, Air Supply Module Proxy cannot send command <newline/>Meaning: AirSupplyProxy got no envelope <newline/>Cure: Load new Software, restart, ..."
"3203";"AS_PROXY_PO_FAILED_TO_SEND";"Communication Failure";"Reason:  SW-Bug, Air Supply Module Proxy cannot send command<newline/>Meaning: Postoffice failed to send the envelope<newline/>Cure: Load new Software, restart ..."
"3204";"AS_NO_ENVELOPE_GOT";"Communication Failure";"Reason:  SW-Bug, Air Supply Module cannot send command or response<newline/>Meaning: Air Supply Proxy got no envelope<newline/>Cure: Load new Software, restart ..."
"3205";"AS_PO_FAILED_TO_SEND";"Communication Failure";"Reason:  SW-Bug, Air Supply Module cannot send command or response<newline/>Meaning: Postoffice failed to send the envelope<newline/>Cure: Load new Software, restart ..."
"3206";"AS_FUSE_S1_FAULT";"FUSE S1 FAULT AT POWER FOR  PRESSURE PUMP ";"Reason:  FUSE S1 FAULT SIGNAL AT POWER FOR PRESSURE PUMP"
"3207";"AS_PRESSURE_PUMP_DISCONNECTED";"PRESSURE  PUMP DISCONNECTED";"Reason: Fault Signal at Pressure Pump connection "
"3208";"AS_PRESSURE_PUMP_START_VALVE_DISCONNECTED";"PRESSURE PUMP START VALVE DISCONNECTED";"Reason: Fault Signal at Pressure Pump Start Valve connection "
"3209";"AS_PNEUMATIC_SENSOR_OFFSET_LOW_LIMIT_FAULT";"Analog Pneumatic Sensor Offset value too low";"Reason:  Analog Pneumatic Sensor Offset value too low at reading"
"3210";"AS_Pump_Fan_Speed_RPM_Too_Low";"Pump Fan Speed RPM Too Low";"Pump Fan Speed RPM Signal Too Low, fan is stopped or blocked"
"3211";"AS_Pump_Fan_Speed_Pas_Test_Tot";"Pump Fan Speed RPM measurement timeout in passive Test";"Pump Fan Speed RPM Signal not valid, measurement timed out in passive Test"
"3212";"AS_Pump_Fan_Speed_Act_Test_Tot";"Pump Fan Speed RPM measurement timeout in active Test";"Pump Fan Speed RPM Signal not valid, measurement timed out in Active Test"
"3213";"AS_Init_Press_Tot";"Timeout in AirSupply_transInitPress";"Timeout filling pressure tank reached"
"3214";"AS_Rack_Fan_Speed_RPM_Too_Low";"Rack Fan Speed RPM Too Low";"Rack Fan Speed RPM Signal Too Low, fan is stopped or blocked"
"3215";"AS_PNEUMATIC_TANK_SENSOR_OUT_OF_TOL";"Analog Pneumatic TANK Sensor value  low or high out of tolerance";"Reason:  Analog Pneumatic Sensor value low or high out of tolerance, Meaning: Cable Connection, AirControl Board or Sensor defective"
"3216";"AS_PNEUMATIC_AIR_BEARING_SENSOR_OUT_OF_TOL";"Analog Pneumatic AIR BEARING Sensor value  low or high out of tolerance";"Reason:  Analog Pneumatic Sensor value low or high out of tolerance, Meaning: Cable Connection, AirControl Board or Sensor defective"
"3217";"AS_PNEUMATIC_TANK_SENSOR_OFFSET_FAULT";"Analog Pneumatic TANK Sensor Offset value too low or too high";"Reason:  Analog Pneumatic Sensor Offset value too low or too high, Meaning: Cable Connection, AirControl Board or Sensor defective"
"3218";"AS_PNEUMATIC_AIR_BEARING_SENSOR_OFFSET_FAULT";"Analog Pneumatic AIR BEARING Sensor Offset value too low or too high";"Reason:  Analog Pneumatic Sensor Offset value too low or too high, Meaning: Cable Connection, AirControl Board or Sensor defective"
"3219";"AS_AIR_BEARING_VALVE_FAULT";"Air Bearing Valve Output Stage indicates error condition";"Reason:  Air Bearing Valve Output indicates error condition at diagnostic reading, Meaning: Cable Connection, AirControl Board or Valve electrical defective"
"3220";"AS_PRESS_DRAINAGE_VALVE_FAULT";"Pressure Drainage Valve Output Stage indicates error condition";"Reason:  Pressure Drainage Valve Output indicates error condition at diagnostic reading, Meaning: Cable Connection, AirControl Board or Valve electrical defective"
"3221";"AS_PNEUMATIC_SENSOR_OFFSET_HI_LIMIT_FAULT";"Analog Pneumatic Sensor Offset value too high";"Reason:  Analog Pneumatic Sensor Offset value too high at reading"
"3222";"AS_MAIN_PUMP_POWER_OFF_FAULT";"FAULT AT MAIN POWER SWITCH FOR  PRESSURE PUMP AND VACUUM PUMP";"Reason:  Main power for the pumps is switched off. This is also a protection reaction for defect of the operating switch element, Meaning: AirControl Board electrical defective. Pressure or vacuum pump could not switched off using the normal switch element."
"3300";"VF_PROXY_ADD_CALLBACK_FAILED";"Communication Failure using Vacuum Fixation Proxy";"Reason: Wrong Parameter, out of range, using Vacuum Fixation Proxy"
"3301";"VF_PROXY_ADD_CALLBACK_EVENT_FAILED";"Communication Failure using Vacuum Fixation Proxy";"Reason: Wrong Parameter, out of range, using Vacuum Fixation Proxy"
"3302";"VF_PROXY_NO_ENVELOPE_GOT";"Communication Failure";"Reason:  SW-Bug, Vacuum Fixation Module Proxy cannot send command <newline/>Meaning: VacFixProxy got no envelope <newline/>Cure: Load new Software, restart, ..."
"3303";"VF_PROXY_PO_FAILED_TO_SEND";"Communication Failure";"Reason:  SW-Bug, Vacuum Fixation Module Proxy cannot send command<newline/>Meaning: Postoffice failed to send the envelope<newline/>Cure: Load new Software, restart ..."
"3304";"VF_NO_ENVELOPE_GOT";"Communication Failure";"Reason:  SW-Bug, Vacuum Fixation Module cannot send command or response<newline/>Meaning: Vacuum Fixation Module got no envelope<newline/>Cure: Load new Software, restart ..."
"3305";"VF_PO_FAILED_TO_SEND";"Communication Failure";"Reason:  SW-Bug, Vacuum Fixation Module cannot send command or response<newline/>Meaning: Postoffice failed to send the envelope<newline/>Cure: Load new Software, restart ..."
"3306";"VF_FUSE_S2_FAULT";"FUSE S2 FAULT AT POWER FOR VACUUM PUMP ";"Reason:  FUSE S2 FAULT SIGNAL AT POWER FOR VACUUM PUMP"
"3307";"VF_VAC_PUMP_DISCONNECTED";"VACUUM PUMP DISCONNECTED";"Reason: Fault Signal at Vacuum Pump connection "
"3308";"VF_VAC_GRIPPER_PRESSURE_VALVE_DISCONNECTED";"VACUUM GRIPPER PRESSURE VALVE DISCONNECTED";"Reason: Fault Signal at Vacuum Gripper Pressure Valve connection "
"3309";"VF_VAC_PUMP_START_VALVE_DISCONNECTED";"VACUUM PUMP START VALVE DISCONNECTED";"Reason: Fault Signal at Vacuum Pump Start Valve connection "
"3310";"VF_SEGMENT_1_SENSOR_FAULT";"SEGMENT 1 SENSOR FAULT";"Reason: Fault Signal at Segment 1 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3311";"VF_SEGMENT_2_SENSOR_FAULT";"SEGMENT 2 SENSOR FAULT";"Reason: Fault Signal at Segment 2 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3312";"VF_SEGMENT_3_SENSOR_FAULT";"SEGMENT 3 SENSOR FAULT";"Reason: Fault Signal at Segment 3 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3313";"VF_SEGMENT_4_SENSOR_FAULT";"SEGMENT 4 SENSOR FAULT";"Reason: Fault Signal at Segment 4 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3314";"VF_SEGMENT_5_SENSOR_FAULT";"SEGMENT 5 SENSOR FAULT";"Reason: Fault Signal at Segment 5 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3315";"VF_SEGMENT_6_SENSOR_FAULT";"SEGMENT 6 SENSOR FAULT";"Reason: Fault Signal at Segment 6 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3316";"VF_SEGMENT_7_SENSOR_FAULT";"SEGMENT 7 SENSOR FAULT";"Reason: Fault Signal at Segment 7 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3317";"VF_SEGMENT_8_SENSOR_FAULT";"SEGMENT 8 SENSOR FAULT";"Reason: Fault Signal at Segment 8 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3318";"VF_SEGMENT_9_SENSOR_FAULT";"SEGMENT 9 SENSOR FAULT";"Reason: Fault Signal at Segment 9 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3319";"VF_SEGMENT_10_SENSOR_FAULT";"SEGMENT 10 SENSOR FAULT";"Reason: Fault Signal at Segment 10 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3320";"VF_SEGMENT_11_SENSOR_FAULT";"SEGMENT 11 SENSOR FAULT";"Reason: Fault Signal at Segment 11 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3321";"VF_SEGMENT_12_SENSOR_FAULT";"SEGMENT 12 SENSOR FAULT";"Reason: Fault Signal at Segment 12 Sensor<newline/>Check: 1. Connection Cable, 2. Sensor Board, 3. Controller Board"
"3322";"VF_PREP_VAC_TOT_FAULT";"Prep Vac not successful, timeout reached";"Reason: No sufficient Vac Level for Scan at the Vac Tank reached, timeout stops action.<newline/>"
"3323";"VF_VAC_SENSOR_OFFSET_FAULT";"Analog Vacuum Sensor Offset value too low or too high";"Reason:  Analog Vacuum Sensor Offset value too low or too high"
"3324";"VF_Init_Vac_Tot";"Timeout in VacFix_transInitPress";"Timeout filling vacuum tank reached"
"3325";"VF_Unfix_IP_Seg_Tot";"Timeout in action to unfix the IP segments";"Timeout in decreasing the vacuum at all Ip segments reached"
"3326";"VF_Unfix_Grip_Vac_Tot";"Timeout in action to unfix the Gripper vacuum";"Timeout in decreasing the vacuum at the Gripper reached"
"3400";"AC_SMARTSWITCH_CH1_SHORTED_TO_GROUND";"CH1 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH1 SHORTED TO  GOUND"
"3401";"AC_SMARTSWITCH_CH2_SHORTED_TO_GROUND";"CH2 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH2 SHORTED TO  GOUND"
"3402";"AC_SMARTSWITCH_CH3_SHORTED_TO_GROUND";"CH3 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH3 SHORTED TO  GOUND"
"3403";"AC_SMARTSWITCH_CH4_SHORTED_TO_GROUND";"CH4 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH4 SHORTED TO  GOUND"
"3404";"AC_SMARTSWITCH_CH5_SHORTED_TO_GROUND";"CH5 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH5 SHORTED TO  GOUND"
"3405";"AC_SMARTSWITCH_CH6_SHORTED_TO_GROUND";"CH6 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH6 SHORTED TO  GOUND"
"3406";"AC_SMARTSWITCH_CH7_SHORTED_TO_GROUND";"CH7 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH7 SHORTED TO  GOUND"
"3407";"AC_SMARTSWITCH_CH8_SHORTED_TO_GROUND";"CH8 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH8 SHORTED TO  GOUND"
"3408";"AC_SMARTSWITCH_CH9_SHORTED_TO_GROUND";"CH9 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH9 SHORTED TO  GOUND"
"3409";"AC_SMARTSWITCH_CH10_SHORTED_TO_GROUND";"CH10 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH10 SHORTED TO  GOUND"
"3410";"AC_SMARTSWITCH_CH11_SHORTED_TO_GROUND";"CH11 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH11 SHORTED TO  GOUND"
"3411";"AC_SMARTSWITCH_CH12_SHORTED_TO_GROUND";"CH12 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH12 SHORTED TO  GOUND"
"3412";"AC_SMARTSWITCH_CH13_SHORTED_TO_GROUND";"CH13 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH13 SHORTED TO  GOUND"
"3413";"AC_SMARTSWITCH_CH14_SHORTED_TO_GROUND";"CH14 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH14 SHORTED TO  GOUND"
"3414";"AC_SMARTSWITCH_CH15_SHORTED_TO_GROUND";"CH15 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH15 SHORTED TO  GOUND"
"3415";"AC_SMARTSWITCH_CH16_SHORTED_TO_GROUND";"CH16 SHORTED TO  GOUND";"Reason:  Smart Switch Module indicates: CH16 SHORTED TO  GOUND"
"3416";"AC_SMARTSWITCH_CH1_OPEN_LOAD";"CH1 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH1 OPEN LOAD"
"3417";"AC_SMARTSWITCH_CH2_OPEN_LOAD";"CH2 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH2 OPEN LOAD"
"3418";"AC_SMARTSWITCH_CH3_OPEN_LOAD";"CH3 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH3 OPEN LOAD"
"3419";"AC_SMARTSWITCH_CH4_OPEN_LOAD";"CH4 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH4 OPEN LOAD"
"3420";"AC_SMARTSWITCH_CH5_OPEN_LOAD";"CH5 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH5 OPEN LOAD"
"3421";"AC_SMARTSWITCH_CH6_OPEN_LOAD";"CH6 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH6 OPEN LOAD"
"3422";"AC_SMARTSWITCH_CH7_OPEN_LOAD";"CH7 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH7 OPEN LOAD"
"3423";"AC_SMARTSWITCH_CH8_OPEN_LOAD";"CH8 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH8 OPEN LOAD"
"3424";"AC_SMARTSWITCH_CH9_OPEN_LOAD";"CH9 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH9 OPEN LOAD"
"3425";"AC_SMARTSWITCH_CH10_OPEN_LOAD";"CH10 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH10 OPEN LOAD"
"3426";"AC_SMARTSWITCH_CH11_OPEN_LOAD";"CH11 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH11 OPEN LOAD"
"3427";"AC_SMARTSWITCH_CH12_OPEN_LOAD";"CH12 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH12 OPEN LOAD"
"3428";"AC_SMARTSWITCH_CH13_OPEN_LOAD";"CH13 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH13 OPEN LOAD"
"3429";"AC_SMARTSWITCH_CH14_OPEN_LOAD";"CH14 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH14 OPEN LOAD"
"3430";"AC_SMARTSWITCH_CH15_OPEN_LOAD";"CH15 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH15 OPEN LOAD"
"3431";"AC_SMARTSWITCH_CH16_OPEN_LOAD";"CH16 OPEN LOAD";"Reason:  Smart Switch Module indicates: CH16 OPEN LOAD"
"3432";"AC_SMARTSWITCH_CH1_OVERLOAD";"CH1 OVERLOAD";"Reason:  Smart Switch Module indicates: CH1 OVERLOAD"
"3433";"AC_SMARTSWITCH_CH2_OVERLOAD";"CH2 OVERLOAD";"Reason:  Smart Switch Module indicates: CH2 OVERLOAD"
"3434";"AC_SMARTSWITCH_CH3_OVERLOAD";"CH3 OVERLOAD";"Reason:  Smart Switch Module indicates: CH3 OVERLOAD"
"3435";"AC_SMARTSWITCH_CH4_OVERLOAD";"CH4 OVERLOAD";"Reason:  Smart Switch Module indicates: CH4 OVERLOAD"
"3436";"AC_SMARTSWITCH_CH5_OVERLOAD";"CH5 OVERLOAD";"Reason:  Smart Switch Module indicates: CH5 OVERLOAD"
"3437";"AC_SMARTSWITCH_CH6_OVERLOAD";"CH6 OVERLOAD";"Reason:  Smart Switch Module indicates: CH6 OVERLOAD"
"3438";"AC_SMARTSWITCH_CH7_OVERLOAD";"CH7 OVERLOAD";"Reason:  Smart Switch Module indicates: CH7 OVERLOAD"
"3439";"AC_SMARTSWITCH_CH8_OVERLOAD";"CH8 OVERLOAD";"Reason:  Smart Switch Module indicates: CH8 OVERLOAD"
"3440";"AC_SMARTSWITCH_CH9_OVERLOAD";"CH9 OVERLOAD";"Reason:  Smart Switch Module indicates: CH9 OVERLOAD"
"3441";"AC_SMARTSWITCH_CH10_OVERLOAD";"CH10 OVERLOAD";"Reason:  Smart Switch Module indicates: CH10 OVERLOAD"
"3442";"AC_SMARTSWITCH_CH11_OVERLOAD";"CH11 OVERLOAD";"Reason:  Smart Switch Module indicates: CH11 OVERLOAD"
"3443";"AC_SMARTSWITCH_CH12_OVERLOAD";"CH12 OVERLOAD";"Reason:  Smart Switch Module indicates: CH12 OVERLOAD"
"3444";"AC_SMARTSWITCH_CH13_OVERLOAD";"CH13 OVERLOAD";"Reason:  Smart Switch Module indicates: CH13 OVERLOAD"
"3445";"AC_SMARTSWITCH_CH14_OVERLOAD";"CH14 OVERLOAD";"Reason:  Smart Switch Module indicates: CH14 OVERLOAD"
"3446";"AC_SMARTSWITCH_CH15_OVERLOAD";"CH15 OVERLOAD";"Reason:  Smart Switch Module indicates: CH15 OVERLOAD"
"3447";"AC_SMARTSWITCH_CH16_OVERLOAD";"CH16 OVERLOAD";"Reason:  Smart Switch Module indicates: CH16 OVERLOAD"
"3500";"AS_PNEUMATIC_SENSOR_OUT_OF_TOL";"Analog Pneumatic Sensor value  low or high out of tolerance  Warning";"Reason:  Analog Pneumatic Sensor value low or high out of tolerance"
"3501";"AS_PUMP_FAN_SPEED_RPM_OUT_OF_TOL";"Pump Fan Speed RPM Out Of Tolerance  Warning";"Pump Fan Speed RPM Signal Out Of Tolerance, fan speed is not in expected range"
"3502";"AS_RACK_FAN_SPEED_RPM_OUT_OF_TOL";"Rack Fan Speed RPM Out Of Tolerance  Warning";"Pump Fan Speed RPM Signal Out Of Tolerance, fan speed is not in expected range"
"3503";"AS_Warn_Air_Bearing_Pressure_Limit_Alarm";"AS Warning Air Bearing pressure level below required limit at switch on procedure or at monitoring";""
"3504";"AS_Warn_Refill_Tank_Tot";"AS Warning Refilling pressure tank maximum time limit reached";"The pressure was not filled to the target value within the maximum time period"
"3505";"AS_Warn_Refill_Tank_Cond_Err";"AS Warning Refilling pressure tank run into error condition";"Warning Refilling pressure tank stopped due to erroneus condition"
"3600";"VF_SEGMENT_1_SUCTION_TOT";"SEGMENT 1 SUCTION TIMEOUT Warning";"Meaning: Vacuum Timeout trying suck IP at IP-stage Segment 1. <newline/>Reason 1: Belt of IP-Transport unit is too slack.<newline/>Cure: Replace  the appropriate service part.<newline/>Reason 2: Rubber seal of segment 1 damaged, polluted or bad mounted.<newline/>Cure: Replace rubber seal of segment 1.<newline/>Reason 3: IP is polluted on the reverse.<newline/>Cure: Cleaning.<newline/>Reason 4: IP is twisted.<newline/>Cure: Replace IP."
"3601";"VF_SEGMENT_2_SUCTION_TOT";"SEGMENT 2 SUCTION TIMEOUT  Warning";"Meaning: Vacuum Timeout trying suck IP at IP-stage Segment 2. <newline/>Reason 1: Rubber seal of segment 2 damaged, polluted or bad mounted.<newline/>Cure: Replace rubber seal of segment 2.<newline/>Reason 2: IP is polluted on the reverse.<newline/>Cure: Cleaning.<newline/>Reason 3: IP is twisted.<newline/>Cure: Replace IP."
"3602";"VF_SEGMENT_3_SUCTION_TOT";"SEGMENT 3 SUCTION TIMEOUT  Warning";"Meaning: Vacuum Timeout trying suck IP at IP-stage Segment 3. <newline/>Reason 1: Rubber seal of segment 3 damaged, polluted or bad mounted.<newline/>Cure: Replace rubber seal of segment 3.<newline/>Reason 2: IP is polluted on the reverse.<newline/>Cure: Cleaning.<newline/>Reason 3: IP is twisted.<newline/>Cure: Replace IP."
"3603";"VF_SEGMENT_4_SUCTION_TOT";"SEGMENT 4 SUCTION TIMEOUT  Warning";"Meaning: Vacuum Timeout trying suck IP at IP-stage Segment 4. <newline/>Reason 1: Rubber seal of segment 4 damaged, polluted or bad mounted.<newline/>Cure: Replace rubber seal of segment 4.<newline/>Reason 2: IP is polluted on the reverse.<newline/>Cure: Cleaning.<newline/>Reason 3: IP is twisted.<newline/>Cure: Replace IP."
