"ErrorCode";"Identifier";"Meaning";"Reason";"Cure"
"'2482B";"E_SSC_A_TO_POSXTOBAR";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout scanrolls drive. Action: Step positioning from 'X-pos' up to 'IP on bar' position.";"- Check/replace stepper node."
"'2482C";"E_SSC_AINIT_LSRPOSDELTALB";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start  positioning through light barrier for home positioning.";"- Restart system"
"'2482D";"E_SSC_AINIT_TO_LSRPOSDELTALB";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout lift scanrolls drive. Action: Step positioning through light barrier for home positioning.";"- Check/replace stepper node."
"'2482E";"E_SSC_A_HOMELSR";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Home positioning.";"- Restart system"
"'2482F";"E_SSC_A_TOHOMELSR";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: home positioning.";"- Check mechanics."
"'24830";"E_SSC_AINIT_LSRPOSBOTHDNBW";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start  positioning to both rolls down, backward from home position.";"- Restart system"
"'24831";"E_SSC_AINIT_TO_LSRPOSBOTHDNBW";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout lift scanrolls drive. Action: Step positioning to both rolls down, backward from home position.";"- Check/replace stepper node."
"'24832";"E_SSC_AINIT_LSRPOSTDOWN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start  positioning to postscan roll down, during initialisation.";"- Restart system"
"'24833";"E_SSC_AINIT_TO_LSRPOSTDOWN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout lift scanrolls drive. Action: Step positioning to postscan roll down, during initialisation.";"- Check/replace stepper node."
"'24834";"E_SSC_AINIT_SCANPOSFREEPIN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start  positioning forward until PIN diodes are free.";"- Restart system"
"'24835";"E_SSC_AINIT_TO_SCANPOSFREEPIN";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout scanrolls drive. Action: Step positioning forward until PIN diodes are free.";"- Check/replace stepper node."
"'24836";"E_SSC_DNPOS_PREPARE_RETRY";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start  step positioning downwards in prepare erasure retry cycle.";"- Restart system"
"'24837";"E_SSC_TO_DNPOS_PREPARE_RETRY";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout scanrolls drive. Action: Step positioning downwards in prepare erasure retry cycle.";"- Check/replace stepper node."
"'24838";"E_SSC_UPPOS_PREPARE_RETRY";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start  step positioning upwards in prepare erasure retry cycle.";"- Restart system"
"'24839";"E_SSC_TO_UPPOS_PREPARE_RETRY";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout scanrolls drive. Action: Step positioning upwards in prepare erasure retry cycle.";"- Check/replace stepper node."
"'2483A";"E_SSC_DNPOS_ERASE_RETRY";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start  step positioning downwards in erasure retry cycle.";"- Restart system"
"'2483B";"E_SSC_TO_DNPOS_ERASE_RETRY";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout scanrolls drive. Action: Step positioning downwards in erasure retry cycle.";"- Check/replace stepper node."
"'2483C";"E_SSC_UPPOS_ERASE_RETRY";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node scanrolls. Action: Start  step positioning upwards in erasure retry cycle.";"- Restart system"
"'2483D";"E_SSC_TO_UPPOS_ERASE_RETRY";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout scanrolls drive. Action: Step positioning upwards in erasure retry cycle.";"- Check/replace stepper node."
"'2483E";"E_SSC_CONFIG_LSRIRP_POSLSR";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start  positioning to both rolls down.";"- Restart system"
"'2483F";"E_SSC_CONFIG_LSRIRP_TO_POSLSR";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout lift scanrolls drive. Action: Step positioning to both rolls down.";"- Check/replace stepper node."
"'24840";"E_SSC_CONFIG_LSRIRP_HOMELSR";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Home positioning.";"- Restart system"
"'24841";"E_SSC_CONFIG_LSRIRP_TO_HOMELSR";"- Drive doesn't reach home pos. because of any mechanical problems. - No stepper power supply. - Problems with stepper motor. - Problems with home pos. light barrier. - Problems with stepper node. - Check stepper power supply. - Check motor (connected ?). - check/replace home pos. light barrier and cable. - Check/replace stepper node. ";"Slowscan module : Timeout of stepper drive lift scanrolls. Action: home positioning.";"- Check mechanics."
"'24842";"E_SSC_AFEED_LSRRUN";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start running  for retry close prescan rolls in feed IP procedure.";"- Restart system"
"'24843";"E_SSC_AFEED_LSRSTOP";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Stop running in feed IP procedure.";"- Restart system"
"'24844";"E_SSC_AINIT_LSRENDCYCLE";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start  positioning to end of cycle position, during initialisation.";"- Restart system"
"'24845";"E_SSC_AINIT_TO_LSRENDCYCLE";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout lift scanrolls drive. Action: Step positioning to end of cycle position, during initialisation.";"- Check/replace stepper node."
"'24846";"E_SSC_AINIT_LSRENDBW";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start  positioning to end of cycle position backwards, during initialisation.";"- Restart system"
"'24847";"E_SSC_AINIT_TO_LSRENDBW";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout lift scanrolls drive. Action: Step positioning to end of cycle position backwards, during initialisation.";"- Check/replace stepper node."
"'24848";"E_SSC_A_LSRRUN_LBHFREE";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start running  until home lightbarrier free .";"- Restart system"
"'24849";"E_SSC_A_LSRSTOP_LBHFREE";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Stop running  until home lightbarrier free .";"- Restart system"
"'2484C";"E_SSC_AADJUST_LSRADDLBFLAG";"- Disturbance on IO-Bus - Error on IO-Bus cable or node disconnected/bad contact - Node defective - Check/Replace IO-Bus cable and connector - Check/Replace stepper node ";"Slowscan module : Communication error with stepper node lift scanrolls. Action: Start  positioning from position light barrier forward interrupted to preroll down position.";"- Restart system"
"'2484D";"E_SSC_AADJUST_TOLSRADDLBFLAG";"Stepper node UPI remains busy. - Problems with stepper node. - Problems with IOBUS connector/cable - Check/replace IOBUS connector and cable. ";"Slowscan module: Timeout lift scanrolls drive. Action: Step  positioning from position light barrier forward interrupted to preroll down position.";"- Check/replace stepper node."
"'2484E";"E_SSC_LOAD_SPP_FILE";"Slowscan module : Wrong spare part parameter file. ";"Wrong diskette.";"Insert correct diskette."
"'2484F";"E_SSC_LOAD_SPP_LSRMOTTYPE";"Slowscan module : Liftscanroll motortype parameter missing. Check if  ""lsr_motor_type"" parameter on floppy is OK. ";"Wrong spare part parameter file or file corrupted.";"Insert correct diskette."
"'24870";"E_SSC_INIT_IP_JAM";"- Real jam of Image plate in scanner. - Any problem with scanrolls stepper drive - If no IP in scanner, IP-detection lightbarrier or cable defective. - Check functionality of scanrolls stepper drive ( motor, cables, stepper board). - Replace light barrier and/or cable. ";"Slowscan module: IP Jam during initialisation. Light barrier doesn't become free during initialisation procedure.";"- Analyse fault of IP jam, and take IP out."
"'24871";"E_SSC_ATTACH_ICN";"Its not possible to get access to Shared memory of ICN Therefore no communication possible. This is a fatal error. ";"Slowscan module : Attachment to Infocounter library failed.";"System Ressources exhausted??"
"'2495E";"E_SSC_IOBSIN_SCAN_DOWNLOAD";"- No hexfile present on C-partition. - Stepper node defective. - Any data transfer problem. - Replace stepper node. - Check cabeling and replace if necessarry. ";"Slowscan Unit: SW Download to stepper node scanner failed.";"- Copy hexfile to C-partition of harddisk"
"'2495F";"E_SSC_IOBSIN_LIFT_DOWNLOAD";"- No hexfile present on C-partition. - Stepper node defective. - Any data transfer problem. - Replace stepper node. - Check cabeling and replace if necessarry. ";"Slowscan Unit: SW Download to stepper node lift scanrolls failed.";"- Copy hexfile to C-partition of harddisk"
"'24C00";"E_COB_START_MALLOCCB";"Unable to allocate memory for the control block ";"malloc() failed";"Provide more resources?!"
"'24C01";"E_COB_START_CONFIG";"Cannot configure COB by means of NVF ";"configure() failed";"Ensure that the NVFs for COB are not corrupted."
"'24C02";"E_COB_START_MMSOPEN";"Cannot attach to Message Management System ";"mms_open() failed";"No cure."
"'24C03";"E_COB_START_SMQUEUEID";"Cannot get a queue ID for COB from System Manager ";"sm_queueid() failed";"Out of resources?"
"'24C04";"E_COB_START_QCREATE";"Cannot create input queue for COB ";"mms_qecreate() failed";"No cure."
"'24C05";"E_COB_START_SMSHARE";"Cannot allocate shared memory ";"sm_share() failed";"Check consistency between COB-users and the COB component."
"'24C06";"E_COB_START_SMTASKID";"Cannot get a task ID from the System Manager ";"sm_taskid() failed";"Out of resources?"
"'24C07";"E_COB_START_TASKCREATE";"OS refused to create COB task ";"lib_taskcreate() failed";"Out of resources?"
"'24C08";"E_COB_START_SCPEND";"cannot pend of mailbox for synchronisation with COB task ";"sc_pend() failed";"No cure."
"'24C09";"E_COB_START_SYNCVALUE";"Software inconsistency. ";"Syncvalue that has been given by COB through the mailbox is not what we expect.";"No cure."
"'24C0A";"E_COB_TASK_SCPOST";"Cannot post syncmessage to mailbox ";"sc_post() failed";"No cure."
"'24C0B";"E_COB_TASK_QPEND";"COB cannot pend on its input queue ";"mms_qpend() failed";"no cure."
"'24C0C";"E_COB_TASK_UNKNOWNCLASS";"received a message that has not been sent by the COB interface. Possible reasons: - software inconsistency ";"message class received is unknown";"Resinstall software."
"'24C0D";"E_COB_CFG_LOADDEFAULTS";"Cannot load default configuration ";"nvf_copy_virgin() failed";"Out of resources?"
"'24C0E";"E_COB_CFG_OVERWRITEDEFAULTS";"Cannot overwrite default configuration with NVF data ";"nvf_read_values() failed";"Out of resources?"
"'24C0F";"E_COB_OBS_NOTIFYLOCK";"Cannot lock observer list for exclusive access ";"lock_observers() failed";"OS failure - no cure."
"'24C10";"E_COB_OBS_SNM_ALLO";"Cannot allocate notification message to send to an observer ";"mms_alloc() failed";"Out of resources or MMS leak"
"'24C11";"E_COB_OBS_SNM_QPOST";"Cannot post notification to an observer's input queue ";"mms_qpost() failed";"Invalid Queue ID specified during attach?"
"'24C12";"E_COB_OBS_INIT_SEMACREATE";"Cannot create semaphore to shield the list of observers against concurrent access ";"sc_screate() failed";"Out of resources?"
"'24C13";"E_COB_OBS_SNM_ALLOC";"Cannot allocate notification message ";"mms_alloc() failed";"Out of resources?"
"'24C14";"E_COB_START_INIT_OBS";"Cannot initialize the COB observer list ";"initialize_observer_list() failed";"Software error - no cure"
"'24C15";"E_COB_OBS_REM_OBSERVERNOTFOUND";"observer to be removed not found in the COB observer list ";"remove_observer() failed";"remove request ignored, rely on automatic recovery, but report this to R&D."
"'24C16";"E_COB_OBS_MOD_OBSERVERNOTFOUND";"observer to be modified not found in the COB observer list ";"modify_observer() failed";"modify request ignored, report this to R&D."
"'24C17";"E_COB_OBS_ADD_OBSERVEREXISTS";"observer to be added already exists in the COB observer list ";"add_observer() failed";"add request ignored, report this to R&D."
"'24C18";"E_COB_OBS_ADD_TOOMANYOBSERVERS";"COB observer list is full, no additional observers can be added. ";"add_observer() failed";"add request ignored, report this to R&D."
"'24C19";"E_COB_IFC_ATTACHSHARE";"cannot attach to COB due to an error while trying to share memory with the task. ";"sm_share() failed";"software inconsistency - install a complete release, not just parts!"
"'24C1A";"E_COB_IFC_ATTACHOBS_LOCK";"cannot lock COB observer list against concurrent access ";"lock_observer() failed";"no cure - report this to R&D."
"'24C1B";"E_COB_IFC_ATTACHOBS_ADD";"observer to be added already exists in the COB observer list or observer list full ";"add_observer() failed";"add request ignored, report this to R&D."
"'24C1C";"E_COB_IFC_ATTACHOBS_UNLOCK";"cannot unlock COB observer list ";"unlock_observer() failed";"no cure - report this to R&D."
"'24C1D";"E_COB_IFC_DETACHOBS_LOCK";"cannot lock COB observer list against concurrent access ";"lock_observer() failed";"no cure - report this to R&D."
"'24C1E";"E_COB_IFC_DETACHOBS_REMOVE";"observer to be removed does not exist in the COB observer list ";"remove_observer() failed";"remove request ignored, report this to R&D."
"'24C1F";"E_COB_IFC_DETACHOBS_UNLOCK";"cannot unlock COB observer list ";"unlock_observer() failed";"no cure - report this to R&D."
"'24C20";"E_COB_IFC_SEND_ALLOC";"Cannot allocate message header to send a message to COB ";"mms_alloc() failed";"Increase number of MMS headers for the caller."
"'24C21";"E_COB_IFC_SEND_POST";"Cannot post message header to COB's input queue. ";"mms_qpost() failed";"See MMS error."
"'24C22";"E_COB_IFC_MODIFYOBS_LOCK";"cannot lock COB observer list against concurrent access ";"lock_observer() failed";"no cure - report this to R&D."
"'24C23";"E_COB_IFC_MODIFYOBS_MODIFY";"observer to be modified does not exist in the COB observer list ";"modify_observer() failed";"modify request ignored, report this to R&D."
"'24C24";"E_COB_IFC_MODIFYOBS_UNLOCK";"cannot unlock COB observer list ";"unlock_observer() failed";"no cure - report this to R&D."
"'24C25";"E_COB_IFC_ATTACHMALLOC";"cannot allocate context for cob interface ";"malloc() failed";"out of resources??"
"'24C26";"E_COB_START_INIT_DATASTORE";"Cannot initialize the datastore or create the semaphore ";"initialize_datastore() failed";"out of resources?"
"'24C27";"E_COB_IFC_ERACNT_OOR";"The allowed range for cassettes to be erased at a time is between 1 and 9 (incl.). These limits have been exceeded. ";"Number of cassettes to be erased out of range";"Specify a number between 1 and 9."
"'24C28";"E_COB_DTA_LOCKSEMA";"Cannot pend on datastore's semaphore ";"sc_spend() failed";"Resolve OS error"
"'24C29";"E_COB_DTA_RELEASESEMA";"Cannot allow access to the datastore for others again ";"sc_spost() failed";"Resolve OS error"
"'24C2A";"E_COB_USRCMD_RELEASE_STORE";"Cannot lock datastore ";"lock_datastore() failed";"Resolve OS error"
"'24C2B";"E_COB_USRCMD_LOCK_STORE";"Cannot release datastore ";"release_datastore() failed";"Resolve OS error"
"'24C2C";"E_COB_IFC_GETMETHODNOTIMPLEMENTED";"A method should be used, that is available in the interface, but not in the COB task ";"The requested command is not implemented.";"Ensure that the software is consistent, it looks as if COB.PPC is older than other components."
"'24C2D";"E_COB_IFC_GET_LOCKSTORE";"Unable to get exclusive access to the datastore ";"Cannot lock datastore";"OS error - no cure"
"'24C2E";"E_COB_IFC_GET_RELEASESTORE";"Cannot make datastore accessible for others again. ";"Cannot release datastore";"OS error - no cure"
"'24C2F";"E_COB_IFC_SET_PROGRESS_LOC_OOR";"value out of range ";"location of the progress info out of range";"solve  the bug in caller"
"'24C30";"E_COB_IFC_SET_PROGRESS_MMSALLOC0";"out of mms blocks? ";"mms_alloc failed";"check configuration"
"'24C31";"E_COB_IFC_SET_PROGRESS_MMSALLOC_1";"out of mms blocks? ";"mms_alloc failed";"check configuration"
"'24C32";"E_COB_IFC_SET_PROGRESS_PARX_IS_NULL";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C33";"E_COB_IFC_SET_PROGRESS_PAR1_IS_NULL";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C34";"E_COB_IFC_SET_PROGRESS_MODE_OOR";"Bug in the caller ";"unknown progress mode";"Solve in R&D!"
"'24C35";"E_COB_IFC_SETSTATIONNAME_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C36";"E_COB_IFC_SET_STATIONNAME_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C37";"E_COB_IFC_SETAETITLE_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C38";"E_COB_IFC_SETAETITLE_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C39";"E_COB_IFC_SETSWVERSION_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C3A";"E_COB_IFC_SETSWVERSION_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C3B";"E_COB_IFC_SETHOSTNAME_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C3C";"E_COB_IFC_SETHOSTNAME_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C3D";"E_COB_IFC_SETIPADDR_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C3E";"E_COB_IFC_SETIPADDR_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C3F";"E_COB_IFC_SETNETMASK_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C40";"E_COB_IFC_SETNETMASK_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C41";"E_COB_IFC_SETDEFROUTER_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C42";"E_COB_IFC_SETDEFROUTER_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C43";"E_COB_IFC_SETMAILHOST_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C44";"E_COB_IFC_SETMAILHOST_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C45";"E_COB_IFC_SETREDIR_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C46";"E_COB_IFC_SETREDIR_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C47";"E_COB_IFC_SETPOSSDESTS_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C48";"E_COB_IFC_SETPOSSDESTS_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C49";"E_COB_IFC_SETPOSSDESTS_OOR";"Check configuration - we cannot tackle more than 20 destinations within one configuration. ";"number of possible destinations out of range";"correct configuration."
"'24C4A";"E_COB_IFC_SETQUEUEINFO_NULLPTR";"Bug in the caller ";"NULL pointer passed instead a ptr-to-char";"Solve in R&D!"
"'24C4B";"E_COB_IFC_SETQUEUEINFO_MMSALLOC";"out of MMS blocks ";"mms_alloc failed";"check configuration"
"'24C4C";"E_COB_DTA_UPDREDIR_NULLPTR";"the place where we expected a message block is emtpy ";"NULL pointer passed instead of a block";"Incorrect call - remove software bug"
"'24C4D";"E_COB_DTA_UPDPOSSDEST_NULLPTR";"the place where we expected a message block is emtpy ";"NULL pointer passed instead of a block";"Incorrect call - remove software bug"
"'24C4E";"E_COB_DTA_UPDQINFO_NULLPTR";"the place where we expected a message block is emtpy ";"NULL pointer passed instead of a block";"Incorrect call - remove software bug"
"'24C4F";"E_COB_IFC_SETQUEUEINFO_NUMJOBSOOR";"cannot update COB's datastore with queue information - out of space and out of specs!! ";"Too much jobs in queue";"Queue must not hold more than 10 entries!!"
"'24C50";"E_COB_DTA_UPDQINFO_DESTNOTFOUND";"the destination specified for a job in the queue could not be found in the list of possible destinations!! ";"Unknown destination for job in queue";"Inconsistent configuration - parse CPF!!"
"'24C51";"E_COB_IFC_EE_NULLERROR";"0x00 is defined as ok, not as an error condition ";"error code to set is 0x00";"Remove software bug in calling entity"
"'24C52";"E_COB_IFC_EE_STRINGPAROOR";"The specified string parameter is either an empty string or it is too long. ";"Parameter out of range";"Remove software bug in calling entity"
"'24C53";"E_COB_IFC_EE_MMSALLOC";"Cannot allocate an MMS block to send the string parameter to COB. ";"mms_alloc() failed";"Provide more MMS resources to the calling entity"
"'24C54";"E_COB_ERR_EQINCONSISTENCY";"Software bug ";"added a code to the queues but it cannot be retrieved anymore";"Correct queue handling in COB - if this appears at a customer site, inform R&D immediately!!"
"'24C55";"E_COB_ERR_DELERRDOESNOTEXIST";"This code has not been set in the code queues for any reason ";"Attempt to remove a code that does not exist anymore in the code queues";"Rely on automatic recovery."
"'24C56";"E_COB_ERR_ADD_NOSPACE";"Attempt to post more than 20 code entries at a time to COB. This exceeds the limit of 20 entries. ";"out of resources";"Inform R&D."
"'24C57";"E_COB_ERR_REMCODENOTFOUND";"";"code to be removed has not been found ";"rely on automatic recovery"
"'24C58";"E_COB_IFC_SETCOMPSTATEIDMMSALLOC";"unable to allocate memory to store the component name ";"mms_alloc() failed";"Software bug - no cure"
"'24C59";"E_COB_IFC_SETCOMPSTATEIDOOR";"component state ID cannot be interpreted - the installed software seems to be inconsistent ";"component state is out of range";"install a complete release!!"
"'24C5A";"E_COB_IFC_SETCOMPSTATENULLID";"expected an indentification string for a component and received a NULL pointer ";"NULL pointer given instead of a component name";"software bug - no cure"
"'24C5B";"E_COB_STAT_SET_NOCOMPNAME";"expected an indentification string for a component and received a NULL pointer ";"NULL pointer given instead of a component name";"software bug - no cure"
"'24C5C";"E_COB_STAT_CREATETOOMANY";"attempt to create the 51st component - we cannot handle more than 50 components. ";"out of resources";"software bug - no cure"
"'24C5D";"E_COB_IFC_SETOUTFEAT_MMSALLOC";"cannot allocate an MMS block to pass the output features to the COB task. ";"mms_alloc() failed";"Provide more resources to the caller"
"'24C5E";"E_COB_IFC_SETOUTFEAT_OOR";"at least one of the destinations specified for the redirection is exceeds the maximum size of 16. ";"destination length out of range";"Software bug - no cure"
"'24C5F";"E_COB_USRCMD_SOF_NODATA";"severe software or configuration bug ";"control block is missing in message";"No cure - report to R&D"
"'24C60";"E_COB_IFC_SETREDUNAVAIL_MMSALLOC";"unable to create MMS block to tell COB that a host is unavailable ";"mms_alloc failed";"provide more small MMS blocks to caller (should be RED)."
"'24C61";"E_COB_TASK_ATTACH";"Cannot attach to one of the components needed ";"attach to a component failed";"No cure - solve bug!"
"'24C62";"E_COB_INSTALL_ACTIVE";"An attempt has been made to install an item while another item is reported to be currently installed. things at the same time . ";"Installation is already active";"Ensure that there are not two people installing"
"'24C63";"E_COB_START_LOAD_COMPONENTS";"See underlying error code to see what went wrong ";"Loading or starting of a component failed";"Check configuration and or integrity of the release."
"'24C64";"E_COB_START_LOADUIF";"the file specified seems to be not a valid executable ";"loading of the UIF component failed";"Check release integrity and configuration settings"
"'24C65";"E_COB_START_STARTUIF";"please have a look into the logfile, which error code has been reported by UIF itself ";"starting the UIF component failed";"check configuration"
"'24C66";"E_COB_START_LOADCPF";"the file specified seems to be not a valid executable ";"loading of the CPF component failed";"Check release integrity and configuration settings"
"'24C67";"E_COB_START_STARTCPF";"please have a look into the logfile, which error code has been reported by UIF itself ";"starting the CPF component failed";"check configuration"
"'24C68";"E_COB_IFC_SETACTPROG_MMSALLOC";"failed to allocate space for the string parameter ";"mms_alloc failed";"provide more resources!"
"'24C69";"E_COB_IFC_SETLAST_REPAIRMMSALLOC";"Out of resources ";"mms_alloc failed";"Provide more resources"
"'24C6A";"E_COB_IFC_SETLASTREPAIRIDOOR";"This is too long for a valid date string ";"Parameter size out of range";"Correct Software"
"'24C6B";"E_COB_IFC_SETLASTREPAIRNULL";"NULL pointer seen instead of a valid string ";"NULL pointer passed";"Correct Software"
"'24C6C";"E_COB_IFC_SETERRORHIST_NULLPTR";"NULL pointer seen instead of a valid string ";"NULL pointer passed";"Correct Software"
"'24C6D";"E_COB_IFC_SETERRORHISTMMSALLOC";"Out of resources ";"mms_alloc failed";"Provide more resources"
"'24C6E";"E_COB_IFC_SETERRORHITLIST_NULLPTR";"NULL pointer seen instead of a valid string ";"NULL pointer passed";"Correct Software"
"'24C6F";"E_COB_IFC_SETERRORHITLISTMMSALLOC";"Out of resources ";"mms_alloc failed";"Provide more resources"
"'24CA0";"E_COB_LOADDGN";"the DGN component is corrupted or not existing at all - or we run short with resources. enough resources are available. ";"loading the diagnostics software failed";"ensure that the release is completely installed and that"
"'24CA1";"E_COB_STARTDGN";"DGN starter returned with error ";"cannot start DGN component";"ensure that enough memory is available and that all rule-files are installed."
"'24CA2";"E_COB_IFC_SET_DIAG_RESPMMSALLOC";"Out of resources ";"mms_alloc failed";"Provide more resources"
